house_id,dwelling,dwelling_grade,household_m2,size_grade,bedrooms,years,old,heating_source,area_code,occupants,children,teenagers,adults,elders,ainc,adec,agauge,fulltimers,parttimers,grads,postgrads,education_index,income,recycling,energy_class,thermostats,water_heater,smart_plugs,awareness,start,end,days,kwhs,kwh/day,kwh/day/m2,hdd,cdd
60,Appartment,0.0,122,0.6,3.0,16 - 30,0.66,No,55132,2,0,0,2,0,1.8,1.5,2.0,1,1,1,1,0.9166666667,"10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,Yes,Rarely,Sometimes,2021-07-08,2021-09-03,57,441.0,7.736842105,0.06341673857,0.0,383.95
61,Appartment,0.0,100,0.4,3.0,6 - 15,0.33,No,55132,4,0,0,4,0,3.6,3.0,4.0,2,0,2,1,0.9027777778,"40,000€ - 60,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,2022-01-06,2022-02-03,28,189.0,6.75,0.0675,240.651,0.0
61,Appartment,0.0,100,0.4,3.0,6 - 15,0.33,No,55132,4,0,0,4,0,3.6,3.0,4.0,2,0,2,1,0.9027777778,"40,000€ - 60,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,2021-06-04,2021-07-02,28,244.0,8.714285714,0.08714285714,0.0,120.821
62,Appartment,0.0,80,0.2,,0 - 5,0.0,Yes,55132,3,1,0,2,0,2.3,2.5,2.5,1,1,2,2,1.0,"10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,No,Sometimes,Sometimes,2021-11-01,2022-01-31,91,300.0,3.296703297,0.04120879121,568.299,0.0
63,Appartment,0.0,87,0.4,2.0,30+,1.0,Yes,55132,4,0,0,4,0,3.6,3.0,4.0,1,1,3,0,0.9166666667,"10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,Yes,Rarely,Sometimes,2021-12-10,2022-03-10,90,3450.0,38.33333333,0.4406130268,664.469,0.0
63,Appartment,0.0,87,0.4,2.0,30+,1.0,Yes,55132,4,0,0,4,0,3.6,3.0,4.0,1,1,3,0,0.9166666667,"10,001€ - 20,000€",Often or Always,Often or Always,Often or Always,Yes,Rarely,Sometimes,2021-07-10,2021-09-10,62,2200.0,35.48387097,0.4078605858,0.008,377.608
64,Appartment,0.0,86,0.4,4.0,30+,1.0,Yes,55132,1,0,0,1,0,0.9,0.75,1.0,0,0,0,0,0.8333333333,"0 - 10,000€",Often or Always,Often or Always,Often or Always,No,Rarely,Sometimes,2021-11-08,2022-03-07,119,1209.0,10.15966387,0.1181356263,769.315,0.0
65,Appartment,0.0,65,0.2,2.0,0 - 5,0.0,No,55133,3,0,0,3,0,2.7,2.25,3.0,1,2,2,0,0.9074074074,"10,001€ - 20,000€",Sometimes,Often or Always,Rarely,No,Rarely,Often or Always,2021-09-30,2021-10-17,17,52.0,3.058823529,0.04705882353,15.696,0.3
66,Appartment,0.0,80,0.2,2.0,30+,1.0,No,55133,1,0,0,1,0,0.9,0.75,1.0,1,0,1,1,1.0,"0 - 10,000€",Rarely,Often or Always,Often or Always,No,Rarely,Rarely,2021-12-09,2022-01-08,30,61.0,2.033333333,0.02541666667,253.814,0.0
66,Appartment,0.0,80,0.2,2.0,30+,1.0,No,55133,1,0,0,1,0,0.9,0.75,1.0,1,0,1,1,1.0,"0 - 10,000€",Rarely,Often or Always,Often or Always,No,Rarely,Rarely,2021-06-11,2021-07-13,32,71.0,2.21875,0.027734375,0.0,182.813
67,Appartment,0.0,50,0.0,1.0,6 - 15,0.33,Yes,55134,1,0,0,1,0,0.9,0.75,1.0,1,0,1,0,0.9444444444,"10,001€ - 20,000€",Sometimes,Sometimes,Sometimes,No,Rarely,Rarely,2021-12-23,2022-02-22,61,306.0,5.016393443,0.1003278689,480.714,0.0
67,Appartment,0.0,50,0.0,1.0,6 - 15,0.33,Yes,55134,1,0,0,1,0,0.9,0.75,1.0,1,0,1,0,0.9444444444,"10,001€ - 20,000€",Sometimes,Sometimes,Sometimes,No,Rarely,Rarely,2021-04-23,2021-08-24,123,505.0,4.105691057,0.08211382114,14.437,532.029
68,Appartment,0.0,49,0.0,1.0,6 - 15,0.33,No,55135,3,0,0,3,0,2.7,2.25,3.0,1,0,1,1,0.8888888889,"20,001€ - 40,000€",Sometimes,Sometimes,Often or Always,No,Rarely,Rarely,2021-09-01,2021-12-29,119,1309.0,11.0,0.2244897959,329.908,60.196
68,Appartment,0.0,49,0.0,1.0,6 - 15,0.33,No,55135,3,0,0,3,0,2.7,2.25,3.0,1,0,1,1,0.8888888889,"20,001€ - 40,000€",Sometimes,Sometimes,Often or Always,No,Rarely,Rarely,2021-04-28,2021-08-31,125,1542.0,12.336,0.251755102,5.325,567.971
69,Appartment,0.0,86,0.4,3.0,30+,1.0,No,55135,5,0,1,4,0,4.35,3.9,4.75,3,0,3,0,0.9166666667,"20,001€ - 40,000€",Often or Always,Sometimes,Often or Always,No,Rarely,Rarely,2020-11-26,2021-03-30,124,1805.0,14.55645161,0.1692610653,727.817,0.0
